"","garrett_67","garrett_53","garrett_47","garrett_50","garrett_60","garrett_76","garrett_35","garrett_34","garrett_95","garrett_49","garrett_39","garrett_85","25617X30","25617X31","25617X32","25617X37","25617X38","25617X39","25617X40","25617X41","25617X42"
"Kyrpidia",0,0,0,0,0,0,0.000456533450205897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Effusibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267592178815798,0,0,0
"Exiguobacterium",0.00402727809697686,0,0,0,0,0,0.000456533450205897,0,0,0,0.00273095330752583,0,0,0.00448866611805192,0.0216898353544316,0.000551749708676154,0.000360561321865881,0.000891973929385992,0.000444479563817388,0.00132641324594165,0.000589407174264125
"Hydrogenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110349941735231,0.000120187107288627,0,0,0,0
"Listeria",0,0,0,0,0,0,0.00182613380082359,0,0,0,0.00204821498064437,0,0.00149521531100478,0.00149622203935064,0.00394360642807848,0.000772449592146615,0.0013220581801749,0.00160555307289479,0.00098773236403864,0.00227385127875711,0.000589407174264125
"Gemella",0.285936744885357,0.582949531385874,0.358986632021608,0.656445874978824,0.497279588135494,0.3300803673938,0.267528601820655,0.0686577411603158,0.344170743322222,0,0.681372850227693,0,0.0613038277511962,0.16308820228922,0.303657694962043,0.202602493025884,0.280636895518944,0.919000739446387,1.39675233598704,5.60125365000502,0.701983944548573
"Kroppenstedtia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275874854338077,0,0,9.8773236403864e-05,0,0
"Laceyella",0,0,0,0,0,0,0.000913066900411793,0,0,0,0.000682738326881456,0,0,0,0,5.51749708676154e-05,0,0,0,0,0
"Thermoactinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591540964211772,0,0.000120187107288627,0,0,0,0
"Veillonella",0.99876496805026,1.4396598924281,3.26164997093918,2.52414026766051,2.50979933306032,1.23421354764638,7.48577898302609,3.261242705115,7.03493657734101,0.176991150442478,8.19490813755812,0.147192028985507,3.05622009569378,2.15306351462557,0.514640638864241,5.92860579469614,10.5650476662068,20.7710401040398,12.576055392031,8.5786724119309,7.74304204830781
"Megasphaera",0.00134242603232562,0,0,0.00847026935456547,0,0.0430539609644087,0.00913066900411793,0.0343288705801579,0.00432919173990216,0,0.0211648881333251,0.0452898550724638,0.00149521531100478,0.00897733223610384,0.00394360642807848,0.0165524912602846,0.0044469229696792,0.00133796089407899,0.00390154283795263,0.000947438032815464,0.0176822152279238
"Dialister",0.00268485206465124,0.00322071564301588,0,0,0.0058503480957117,0,0.00913066900411793,0.0686577411603158,0.028139746309364,0,0.00204821498064437,0,0.0403708133971292,0.0613451036133762,0.041407867494824,0.0173801158232988,0.00288449057492705,0.00231913221640358,0.000345706327413524,0,0.00648347891690538
"Phascolarctobacterium",1.24979863609515,0.0128828625720635,0.0102567609149031,0.173640521768592,0,0.100459242250287,0.0538709471242958,0.652248541023,0.0108229793497554,0.412979351032448,0,0.498188405797101,0.189892344497608,0.412957282860777,0.297742285319925,0.00132419930082277,0.00420654875510194,0.0186422551241672,0.00251871752829853,0.00189487606563093,0.109629734413127
"Acidaminococcus",0,0,0,0,0,0.0574052812858783,0,0,0.00432919173990216,0,0.000682738326881456,0.0113224637681159,0,0,0.00197180321403924,0.000772449592146615,0.000120187107288627,0.000178394785877198,4.9386618201932e-05,0,0
"Selenomonas",0.045642485099071,0.0611935972173017,0.0786351670142569,0.0889378282229375,0.0117006961914234,0.416188289322618,0.208179253293889,0,0.402614831810901,0.0589970501474926,0.493619810335293,0.0113224637681159,0.0642942583732057,0.106231764793895,0.0315488514246278,0.0707343126522829,0.175352989534107,0.0323786536367115,0.00483988858378934,0.0471824140342101,0.118470842027089
"Megamonas",0.00134242603232562,0,0,0,0,0,0,0,0,0,0.00136547665376291,0,0,0,0,0.000220699883470462,0.000600935536443135,0.000356789571754397,0.00024693309100966,0.000568462819689278,0.000589407174264125
"Pectinatus",0,0,0,0,0,0,0,0,0,0,0.000682738326881456,0,0,0.00149622203935064,0,5.51749708676154e-05,0,0,0,0,0
"Pelosinus",0,0,0,0,0,0,0.00136960035061769,0,0,0,0.00136547665376291,0,0,0,0,0.000551749708676154,0.000120187107288627,0,0,0,0
"Anaeromusa",0.00134242603232562,0,0,0,0,0,0.000913066900411793,0,0,0,0.00204821498064437,0,0,0,0.00591540964211772,0.000220699883470462,0.000120187107288627,8.91973929385992e-05,0.000296319709211592,0.000378975213126186,0
"Peptoniphilus",0,0,0,0,0,0,0.000456533450205897,0,0,0.0589970501474926,0.000682738326881456,0,0.0269138755980861,0.0119697763148051,0,0.00115867438821992,0.000600935536443135,0.000535184357631595,0.000148159854605796,0.000947438032815464,0.00176822152279238
"Parvimonas",0.0402727809697686,0.00322071564301588,0.0410270436596123,0.00847026935456547,0.0175510442871351,0.0287026406429392,0.0100437359045297,0,0.0173167669596086,0,0.0102410749032218,0,0.00448564593301435,0.0224433305902596,0,1.64360720717539,0.24506151176151,0.0199802160182462,0.0331878074316983,0.0886801998715274,0.0129669578338108
"Anaerococcus",0.00268485206465124,0,0,0,0,0,0.00182613380082359,0,0.00216459586995108,0,0.00273095330752583,0,0.00598086124401914,0,0,0.00193112398036654,0.000721122643731762,0.000178394785877198,9.8773236403864e-05,0.00227385127875711,0.00176822152279238
"Murdochiella",0.00268485206465124,0,0,0,0,0,0.000456533450205897,0,0,0,0,0,0,0.00448866611805192,0.00394360642807848,0.000441399766940923,0.000360561321865881,0,0,0,0
"Helcococcus",0.00134242603232562,0,0,0,0,0,0.000456533450205897,0,0,0,0.000682738326881456,0,0,0,0,0.00209664889296938,0.00228355503848391,0.00187314525171058,4.9386618201932e-05,0.000378975213126186,0
"Finegoldia",0,0,0,0,0,0,0.00136960035061769,0,0,0,0.00341369163440728,0,0.0867224880382775,0.00299244407870128,0,0.00496574737808538,0.0013220581801749,0,0.000148159854605796,0.000189487606563093,0
"Miniphocaeibacter",0,0,0,0,0,0,0,0,0,0,0.000682738326881456,0,0.00299043062200957,0,0,0.000882799533881846,0,0.000178394785877198,0,0.000189487606563093,0
"Gudongella",0.00134242603232562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121384935908754,0.000721122643731762,0,0,0,0.0023576286970565
"Tissierella",0,0,0,0,0,0,0,0,0,0,0.000682738326881456,0.0113224637681159,0,0,0.00197180321403924,0.000496574737808538,0.000120187107288627,0,0.000148159854605796,0.000378975213126186,0
"Gottschalkia",0,0,0,0,0,0,0,0,0,0,0.000682738326881456,0,0,0,0,5.51749708676154e-05,0.000120187107288627,8.91973929385992e-05,0,0,0
"Acidilutibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165524912602846,0,0,0,0,0
"Keratinibaculum",0,0,0.00341892030496769,0,0,0,0,0,0,0,0,0,0,0,0,5.51749708676154e-05,0,0,0,0.000189487606563093,0
"Caloranaerobacter",0,0,0,0,0,0,0.000456533450205897,0,0,0,0,0,0,0,0,0.000220699883470462,0.000120187107288627,0,0,0,0.000589407174264125
"Ezakiella",0,0,0,0,0,0,0.000456533450205897,0,0,0,0.00136547665376291,0,0.00299043062200957,0,0,0.00237252374730746,0.00216336793119528,0.000267592178815798,0.00024693309100966,0.00151590085250474,0
"Caldicellulosiruptor",0.00134242603232562,0,0,0,0,0.0143513203214696,0,0,0,0,0,0,0,0,0.00394360642807848,0.000441399766940923,0.000240374214577254,0.000356789571754397,0,0,0
"Limnochorda",0,0,0,0,0,0,0,0,0,0,0,0,0.00149521531100478,0.00448866611805192,0,0.000165524912602846,0,0,0,0.000189487606563093,0
"Candidatus Contubernalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110349941735231,0.000120187107288627,0,0,0,0
"Streptomyces",0.0617515974869785,0.00966214692904763,0.0512838045745154,0.0254108080636964,0.0292517404785585,0.416188289322618,0.074871485833767,0,0.054114896748777,0,0.0880732441677079,0.0566123188405797,0.204844497607655,0.0942619884790903,0.122251799270433,0.0128005932412868,0.00612954247171997,0.00374629050342117,0.00577823432962604,0.0125061820331641,0.0394902806756964
"Peterkaempfera",0,0,0,0,0,0,0.000913066900411793,0,0,0,0,0,0,0,0,5.51749708676154e-05,0,0,0,0,0
"Kitasatospora",0.00671213016162809,0,0,0,0,0.0287026406429392,0.00182613380082359,0,0,0,0.00546190661505165,0,0.0104665071770335,0.00149622203935064,0.00394360642807848,0.000606924679543769,0.000240374214577254,8.91973929385992e-05,0.000148159854605796,0.000568462819689278,0.00412585021984888
"Streptacidiphilus",0,0,0,0,0,0,0.000456533450205897,0,0,0,0.00204821498064437,0,0,0,0,0.000110349941735231,0,8.91973929385992e-05,4.9386618201932e-05,0,0
"Actinacidiphila",0.00134242603232562,0,0,0,0,0,0,0,0,0,0,0,0.00299043062200957,0,0,0.000220699883470462,0.000120187107288627,8.91973929385992e-05,0,0,0.000589407174264125
"Streptantibioticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110349941735231,0,0,0,0,0
"Dietzia",0,0,0,0,0,0.0287026406429392,0.00136960035061769,0,0,0.117994100294985,0.00136547665376291,0.113224637681159,0.020933014354067,0.016458442432857,0.00788721285615696,5.51749708676154e-05,0.000120187107288627,8.91973929385992e-05,9.8773236403864e-05,0,0.0766229326543363
"Corynebacterium",0.0912849701981421,0.283422976585397,0.184621696468255,0.660681009656107,2.18803018779617,2.66934557979334,0.102720026296327,0.480604188122211,0.519503008788259,1.76991150442478,0.127672067126832,0.747282608695652,0.258672248803828,0.263335078925713,0.514640638864241,0.0262632861329849,0.0171867563422737,0.0153419515854391,0.0279034392840916,0.139462878430436,0.167391637491012
"Rhodococcus",0.00268485206465124,0,0.00341892030496769,0.00423513467728274,0.0058503480957117,0.0717566016073479,0.00410880105185307,0,0,0.0589970501474926,0.00204821498064437,0,0.0299043062200957,0.112216652951298,0.134082618554668,0.00126902432995515,0.00228355503848391,0.00196234264464918,0.00158037178246182,0.000947438032815464,0.137331871603541
