"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Aliarcobacter",4.90547206864232,-0.310796323702342,0.522671193028537,-0.594630673830485,0.552090371672669,0.841620523483767
"Arcobacter",4.33304526635954,-0.06767803383601,0.570496034297884,-0.118630156508103,0.905568372613069,0.973982293412816
"Hydrogenimonas",3.24354052818812,0.080812840532071,0.90030454319144,0.0897616713624503,0.928476607013883,0.980924204632642
"Sulfurovum",3.67711458943111,1.1759830112439,1.02508254038584,1.14720811731049,0.251295617533198,0.593818820050607
"Helicobacter",5.956127183644,0.56708512092413,0.431146388667107,1.31529600115005,0.188410441550742,0.511262093312884
"Sulfurimonas",7.18740696268299,1.09175368829324,0.49104415853839,2.22333097606309,0.0261934902557597,0.136231829222358
"Sulfurospirillum",2.54684711127083,0.57178578850813,0.596723978800833,0.95820816461437,0.337957800995394,0.661629707110178
"Nitratiruptor",1.97038660190837,1.05113246429282,0.641129400303106,1.63950126728844,0.101108906961665,0.354361113166559
"Archangium",11.2578382658987,1.46656254485547,0.724859433486068,2.0232371644835,0.0430487017238735,0.198585532734912
"Corallococcus",6.7192416473156,0.752882965304677,0.651441160604859,1.15571905927103,0.247796089686619,0.592653034238541
"Myxococcus",5.85944547816846,0.940452806436197,0.441918659458534,2.12811291469,0.03332772279569,0.164171240572997
"Anaeromyxobacter",8.14362911552809,1.06559903122541,0.470958209317094,2.26261908200002,0.0236591808020917,0.126597112316949
"Sorangium",7.78159515950576,0.521268356302695,0.568264201431431,0.917299303721128,0.358985822144838,0.672939853879281
"Polyangium",2.16100179994358,-0.75009074322846,0.703212387961899,-1.06666315336456,0.286123971442688,0.624589401591384
"Labilithrix",1.96655870472426,-0.67046152238717,0.803541715101236,-0.834382969529716,0.40406521097028,0.718587269120757
"Fusobacterium",40263.1617778774,-1.36776347846636,0.820425859320939,-1.66713842930116,0.095486882244687,0.34226885831626
"Cetobacterium",10.2648550527803,-0.614350785356516,0.732793421384255,-0.838368314218761,0.401823879386106,0.718587269120757
"Ilyobacter",11.6650001335399,0.497370463451192,0.498738580288828,0.997256845787138,0.318639854689641,0.647225236047474
"Leptotrichia",27.6649731890957,-1.31317207046367,0.463276898957175,-2.83452957274491,0.0045893210103294,0.0352845622605761
"Sebaldella",2.53384362821579,-0.859232621053957,0.648692740588314,-1.32456025371072,0.185317046054135,0.508445125131084
"Borreliella",4.67071421470414,-0.216378407504548,0.876485494490158,-0.246870494565814,0.805008451611845,0.936001478051791
"Treponema",78.1735707658755,0.969735552133575,0.367194959293157,2.64092827962644,0.00826792197463841,0.0555061321120445
"Brucepastera",1.78082238835355,0.083688047370864,0.821824130265718,0.101832063928088,0.918889974600021,0.980065528357328
"Spirochaeta",2.59991830231274,1.20755562760681,0.579964360089216,2.08212040377974,0.0373314732751752,0.178417536689013
"Marispirochaeta",5.47666981617847,0.774973921884486,0.444836360763384,1.74215507148416,0.0814813132396252,0.313230700533487
"Sediminispirochaeta",1.80786022211802,-0.66932607454766,0.651435714222971,-1.02746297130183,0.304202512823329,0.635352098632977
"Sphaerochaeta",15.7687903727221,0.42354281879374,0.421696798538305,1.00437760083034,0.315196642338098,0.646295853277874
"Breznakiella",2.91379249423397,0.782510646015032,0.706814921974984,1.1070941227847,0.268253236302428,0.612907046982358
